id,msd1,dob,msd2,msd3,msd4,msd5,flag
1,8024a5bd-1a7c-45a7-a96f-0e10329086cb,20171218,1ebbe902-1fef-4a58-86f8-b63c35c7e060,6b2c3fff-00bf-4e61-a8f2-91981105a058,eba4bc34-3896-4c05-80a0-1a8c8c931edd,8e534917-7a23-4774-b99b-5faa20e0d521,0
2,82cd7480-4aea-4bd8-a602-e1bd22b3f4ba,20171218,688a8ffd-eeed-4052-a71a-25e8801902a0,7049e4f3-e4a2-4d25-8b91-7805856d6a45,7fcce9d3-2825-4b54-80c4-2bc89c044f03,a5c08afe-c1f8-4086-a732-020849eec4c5,0
3,8d11df5d-a562-4a42-98e6-3bbd63b5ae7e,20171218,87e22b88-848d-4d26-8424-8440aaf2f9f7,5c78964c-5fe4-4d30-ad8c-1178180e88c2,77a7ebc2-427c-40f4-853e-1882211b04c1,aca954d8-2435-483a-a6bc-03bb1bc5c9cd,0
4,afd9b707-bd8c-47cd-8ef0-3a4518dd6218,20171218,dc73a98b-a5d5-45c9-a73e-79202ac36613,61dbe69f-036d-46b3-8c30-5c2f835df8c5,94b3b4a9-f5da-4cd3-aaa4-fd939538cf16,546890ec-b06e-4d09-af57-1399f9f5303f,0
5,a7289036-2f18-4c90-a286-f1a7854fdf75,20171218,6d1870e1-bda5-4957-836f-c39e09bd80e3,125f0a98-89d8-4ca9-bf02-c184c9858060,01347744-dad2-4f6e-8c77-258ce719856b,d5065a9f-ac01-47f0-a0b7-e79aab21ce0e,0
6,5ba42ccd-066b-4397-b505-ebce3d1ba316,20171218,a6db184c-8c71-4d99-be9b-3519bc06d5ff,bbca08d2-f221-4380-a4f5-3f10f1d536dd,4abdd2c3-c6de-48c2-b0c2-4844e2eb8c76,d09fa677-f7ae-4c86-ac96-dd69ac2768f0,0
7,2edfc647-cff9-4002-9e3f-6d95193d5b0f,20171218,bd02e867-2242-4143-9770-cdcb7b7ac140,9c083f52-c450-44f5-8185-776a3ae3ffe5,0fad904d-4960-40de-babf-c219ec6a6e48,610f1d2b-7627-4cfd-bb1f-f1d6312133cb,0
8,3df23b80-4403-4e7b-9f49-c5c0f6d32620,20171218,e7cba3d1-c083-4e7f-bafd-48882864a5f9,e440a8a9-ff24-4698-ad57-f9e884130999,7b30c37a-f52e-4090-b76c-ed170a1cf20f,c16f216e-c09b-428f-8ec0-7833b48077ab,0
9,f7aacb83-1eac-4e04-a891-56c39ffea8be,20171218,b7dd2be5-f979-4007-9fbd-af3f162d68b1,0b33ee53-dd8f-4779-aa6c-40256ee99340,a8606fad-3c19-4160-9ec6-23904046b1f5,b2df8ed3-b26e-467c-b428-39874c5c2f23,0
10,e377e25b-0974-4614-bf30-bbd6e38dde85,20171218,2c3ece61-cef2-4ca3-8e14-201ecd469f8d,aa8aa5f1-15b9-424e-9933-a12332a1dcaf,3c16f0a9-ad32-4e6e-8c7b-911f7de1aa66,3a223fc9-f430-426e-8240-d293b2cbcc71,0
11,b1c1d068-eeab-41ee-b9d1-bacefad1e158,20171218,60d685b5-de81-490e-8cc3-e8dd6f3fe3ea,a32d113e-1a94-4c58-a798-d41a21e86bed,920c5092-4204-4a85-9f78-4848f697fc92,f465a465-20ec-487e-8b4a-af88a031cd20,0
12,0af3edd7-e638-4a78-ba5a-1c8dc7913378,20171218,16c0aeb1-b88b-40d7-b9fe-32a911fced87,3bbc3188-3298-4778-b8e3-023d2642be7b,dafa021b-f276-4d83-bb0f-0439ac5eefb4,3b3e567f-dae4-44ba-b921-c124bc73f5c5,0
